,w_knn,w_rf,w_svm,w_xgboost,f1
466,0.035259717635781285,0.19057015840394864,0.17100937037956288,0.1791794859431055,0.5309123625909855
302,0.851060613130501,0.28663359825917734,0.9721700900217632,0.12443752481553594,0.5305763073377892
83,0.647015138842089,0.4880769587274668,0.7890696227585229,0.1658007465638297,0.5305763073377892
375,0.963753264352035,0.5119556252314952,0.9672632774512638,0.20837003912363727,0.5305763073377892
214,0.7704401949396433,0.650831372549498,0.826474842354988,0.1400595228918463,0.5305763073377892
349,0.14428611003207492,0.5899052583809475,0.19580774613043517,0.4090476410406976,0.530286923399659
232,0.361115557995482,0.9605385158977949,0.3950754780610135,0.5902161141486929,0.530286923399659
348,0.17154553292371155,0.12520418867292804,0.3401867999748318,0.6197964449170194,0.5296248419079304
443,0.2722786152459594,0.15305105078267678,0.40670574311917485,0.7409205381468398,0.5296248419079304
474,0.329339141443185,0.22786548368773762,0.4226140218226455,0.9653183447987865,0.5296248419079304
170,0.22482118957485364,0.17505414070117842,0.44075781208368126,0.7712910659872483,0.5296248419079304
340,0.12261441181050226,0.4954263087512504,0.31009946313230274,0.9203296386082687,0.5296248419079304
409,0.03585619870608803,0.1523069475641583,0.7040261810470523,0.8715886678961733,0.5296248419079304
384,0.1535325183915972,0.13577903748906495,0.0631733142195583,0.28991375005486564,0.5296248419079304
192,0.20094682369215378,0.07819246810270708,0.7510384681239963,0.9657511982120296,0.5296248419079304
256,0.15990729343604415,0.7282430843127872,0.071977329440297,0.919050617599352,0.5296248419079304
17,0.40388475013695735,0.2362368501981369,0.3506049093014373,0.741709038283726,0.5291383580726341
92,0.4268798241079189,0.0770470902121112,0.5755512184036533,0.9936153118687518,0.5291383580726341
19,0.4993688141467407,0.43457283524146173,0.19939080516936492,0.8079324503440095,0.5290930282430272
320,0.5140039899280745,0.401554969329445,0.14143882945251285,0.7839458571598232,0.5290930282430272
281,0.374991391249458,0.7864896948819284,0.18883499032474538,0.9759408364750526,0.5290930282430272
382,0.6103194597349022,0.48400797982142085,0.27277242771290267,0.9154646171828619,0.5290930282430272
395,0.5591275023676685,0.5577381427612963,0.34046604537395286,0.9563035750699495,0.5290930282430272
93,0.2600676338081013,0.5961369069980109,0.4584907632420617,0.26036765929805317,0.5290592692015016
