,param_C,param_kernel,param_gamma,param_degree,param_class_weight,param_probability,param_shrinking,param_tol,mean_test_score,std_test_score,rank_test_score
41,2.927107788626256,rbf,auto,4,balanced,True,True,0.1731461166512687,-1.139153178113872,0.04180920900565786,156
136,2.5832844111952595,rbf,auto,5,balanced,True,True,0.1214881851802238,-1.1391667063250597,0.04069683330057676,157
46,3.4624472949421112,rbf,auto,14,balanced,True,True,0.1004497011784771,-1.1391749503914805,0.04309090155413392,158
76,2.992517693818864,rbf,auto,5,balanced,True,False,0.14549042305230106,-1.1392157320582688,0.04098444381525348,159
53,3.483423140894843,rbf,auto,6,balanced,True,True,0.1642863746438768,-1.1392232058180027,0.04196302559040185,160
217,2.830348481280914,rbf,auto,9,balanced,True,True,0.0025068726268149483,-1.1392421640533166,0.041989800793907635,161
205,3.2599554089375857,rbf,auto,14,balanced,True,False,0.14510321227829298,-1.139247648978716,0.04100408154976742,162
238,3.341828776758272,rbf,auto,8,balanced,True,True,0.16005346237197804,-1.1392491047442486,0.04141929925566635,163
69,2.9484241429862474,rbf,auto,13,balanced,True,True,0.036185050535469075,-1.139254902484936,0.04200855258197375,164
195,3.3743176048544172,rbf,auto,11,balanced,True,True,0.19562206985402086,-1.139258655359778,0.0395740332566913,165
86,3.018329652363737,rbf,auto,2,balanced,True,False,0.1491537235508409,-1.139280753056328,0.0421057109443266,166
52,2.7376375439924,rbf,auto,6,balanced,True,False,0.09506012688920769,-1.139286665664327,0.04144498677913162,167
95,2.750251360515864,rbf,auto,10,balanced,True,False,0.06165310293464457,-1.1393070158740612,0.0406876277887446,168
101,2.770832251262074,rbf,auto,12,balanced,True,False,0.01669127626845319,-1.1393178024562958,0.040993431955911104,169
25,3.2712703466859456,rbf,auto,5,balanced,True,False,0.07269314570885453,-1.1393420025807113,0.04245517348167644,170
193,2.960119158983572,rbf,auto,11,balanced,True,False,0.14053351473938636,-1.1393461508935563,0.0423413337795975,171
13,3.1832635188254583,rbf,auto,12,balanced,True,True,0.16763898234723287,-1.1393628944503618,0.03937255285314843,172
28,3.1659223566174965,rbf,auto,12,balanced,True,False,0.05594435859801283,-1.1393717947928796,0.041943424945238256,173
140,3.237035556791009,rbf,auto,13,balanced,True,True,0.14216629677573892,-1.1394100862870669,0.04247437815976606,174
120,3.151484771857788,rbf,auto,11,balanced,True,False,0.055792225464226755,-1.1394158376589765,0.0435641808900525,175
127,2.9234709423081187,rbf,auto,8,balanced,True,False,0.11618491505161693,-1.1394506959590165,0.04170498094182408,176
245,2.8838912213732115,rbf,auto,14,balanced,True,True,0.1822944221929094,-1.1394702759705357,0.04315327579982473,177
105,3.2145959227000622,rbf,auto,8,balanced,True,True,0.05698677938918857,-1.1394823429950711,0.04066015929796669,178
34,3.1955160864261276,rbf,auto,5,balanced,True,True,0.12188347585556346,-1.1395102003503408,0.042192388752338904,179
162,2.963698404939982,rbf,auto,10,balanced,True,False,0.11773122237017442,-1.1395167013775298,0.04215625837167012,180
77,2.780772362440856,rbf,auto,3,balanced,True,False,0.13009445918143356,-1.1395274886434152,0.043077342862256944,181
114,2.515304540290385,rbf,auto,3,balanced,True,False,0.10120797678305185,-1.139532029081618,0.04173469168854797,182
231,2.5633749704727675,rbf,auto,12,balanced,True,False,0.0654707689949446,-1.1395443786812784,0.04068966490241787,183
142,3.3668687053108415,rbf,auto,6,balanced,True,True,0.08621829500938823,-1.1395536780357873,0.040077165078706546,184
3,3.2080725777960453,rbf,auto,6,balanced,True,True,0.19498197043239887,-1.1395624405826783,0.040499463718993156,185
210,2.5200711977777264,rbf,auto,9,balanced,True,True,0.04328960139930893,-1.1395720133638043,0.04016368859284919,186
218,2.7253327977125283,rbf,auto,6,balanced,True,True,0.09856196016174759,-1.1396011795165342,0.04183453023820688,187
92,2.5276167718737046,rbf,auto,2,balanced,True,False,0.0886948246036174,-1.1396190350780866,0.04153076093333558,188
47,2.8008783098167696,rbf,auto,1,balanced,True,False,0.00837738947090656,-1.1396600999241349,0.04168811402570816,189
7,2.639493860652042,rbf,auto,12,balanced,True,False,0.07427236865873835,-1.139666809976387,0.04146210576046992,190
171,2.892989448978859,rbf,auto,11,balanced,True,True,0.11481629383314954,-1.139676130451384,0.04133847800926488,191
186,3.0548156085422256,rbf,auto,3,balanced,True,True,0.14627940653004565,-1.1396795900532208,0.043887751373957506,192
158,3.195748688984617,rbf,auto,1,balanced,True,True,0.14038501117276297,-1.13969669754717,0.04352004244085286,193
222,3.3966102629740207,rbf,auto,4,balanced,True,False,0.18447912261710633,-1.139699093821305,0.0434033646198985,194
9,3.483230885806788,rbf,auto,9,balanced,True,True,0.17298808134726412,-1.1397332720116113,0.0405319641435445,195
56,2.7202410475655485,rbf,auto,10,balanced,True,True,0.1629002092279431,-1.1397363456378877,0.04104887183415907,196
194,2.6800672723492984,rbf,auto,4,balanced,True,False,0.08333224287150563,-1.1397404593649751,0.041930606322613,197
96,3.0370824271966557,rbf,auto,5,balanced,True,True,0.16657380075751774,-1.139748615201587,0.04273346243455159,198
145,3.0813054172267824,rbf,auto,13,balanced,True,True,0.17707199372768337,-1.1397501695433796,0.03925577404975569,199
147,2.8502182467003134,rbf,auto,12,balanced,True,True,0.09733339759282307,-1.1397643124659547,0.04096001468475376,200
119,3.3206394757439552,rbf,auto,12,balanced,True,True,0.16508536875425361,-1.1397868568578151,0.04219002401932193,201
97,2.771542915819742,rbf,auto,12,balanced,True,True,0.09245303232274571,-1.1398224853800796,0.04034932112416603,202
209,2.8971638325040825,rbf,auto,9,balanced,True,True,0.07645683262092454,-1.1398349845893367,0.04145785768377967,203
49,2.7786464642366115,rbf,auto,1,balanced,True,True,0.04891237813339449,-1.1399018025424321,0.04198633850588463,204
116,3.4438916045607573,rbf,auto,2,balanced,True,True,0.17443978671100077,-1.139904901398524,0.03897771556011277,205
125,2.8483366044531975,rbf,auto,11,balanced,True,True,0.008837265335129251,-1.139935784750751,0.04065766547748649,206
207,3.187165505403331,rbf,auto,7,balanced,True,False,0.15092324640171748,-1.139969468400277,0.04043825274692348,207
157,3.469302535619099,rbf,auto,2,balanced,True,True,0.12687972762705252,-1.1400117674202335,0.04187936222821203,208
135,3.176769904424303,rbf,auto,4,balanced,True,True,0.099605131554361,-1.1400128632966589,0.041287537600025064,209
215,2.8787726259512896,rbf,auto,5,balanced,True,False,0.18092947942900248,-1.1400281754933594,0.042514284362542606,210
141,3.468651943974135,rbf,auto,9,balanced,True,False,0.16839277484747478,-1.140069343439994,0.040536027880892424,211
31,2.756068322761324,rbf,auto,11,balanced,True,True,0.14313257793715747,-1.1400695132922505,0.04094174263137686,212
