Feature,Importance
Passenger Country_Greece,0.0
Passenger Country_Hong Kong,0.0
Passenger Country_Hungary,0.0
Passenger Country_Iceland,0.0
Passenger Country_Slovakia,0.0
Passenger Country_South Africa,0.0
Aircraft_Bowen 737,0.0
Passenger Country_Sri Lanka,0.0
Aircraft_Boeing 737 MAX 8-200,0.0
Aircraft_Boeing 737 Max,0.0
Aircraft_Boeing 737 Max 8,0.0
Aircraft_Boeing 737 max,0.0
Aircraft_Boeing 737- 800,0.0
Aircraft_Boeing 737-10,0.0
Aircraft_Boeing 737-300,0.0
Aircraft_Boeing 737-400,0.0
Aircraft_Boeing 737-700,0.0
Aircraft_Boeing 737-8,0.0
Aircraft_Boeing 737-800 EI-ENX,0.0
Aircraft_Boeing 737-800 NG,0.0
Aircraft_Boeing 737-800 series,0.0
Aircraft_Boeing 737-800WL,0.0
Aircraft_Boeing 737-8200,0.0
Aircraft_Boeing 737-8AS,0.0
Aircraft_Boeing 737-900,0.0
Aircraft_Boeing 737/800,0.0
Aircraft_Boeing 737Max,0.0
Aircraft_Boeing 737max,0.0
Aircraft_Boeing 738,0.0
Aircraft_Boeing 747,0.0
Aircraft_Boeing 747-400,0.0
Aircraft_Boeing 747-800,0.0
Aircraft_Boing 737-800,0.0
Aircraft_Boeing 737 MAX,0.0
Aircraft_Boeing 737 900,0.0
Aircraft_Boeing 737 800,0.0
Aircraft_A319,0.0
Passenger Country_Sweden,0.0
Passenger Country_Switzerland,0.0
Passenger Country_Thailand,0.0
Passenger Country_Turkey,0.0
Passenger Country_Ukraine,0.0
Passenger Country_United Arab Emirates,0.0
Passenger Country_Vietnam,0.0
Trip_verified_Not Verified,0.0
Aircraft_737 800,0.0
Aircraft_737300,0.0
Aircraft_A-340,0.0
Aircraft_A320,0.0
Aircraft_Boeing 737 / 800,0.0
Aircraft_A340,0.0
Aircraft_B733-8022,0.0
Aircraft_B737,0.0
Aircraft_B737 800,0.0
Aircraft_B737-800,0.0
Aircraft_B747,0.0
Aircraft_Boeing,0.0
Aircraft_Boeing  737-800,0.0
Aircraft_Boeing 347,0.0
Aircraft_Boeing 373-800,0.0
Aircraft_Boeing 737 - 800,0.0
Origin_Gdansk,0.0
Origin_Girona,0.0
Destination_Bucharest,0.0
Origin_Tel Aviv,0.0
Origin_Tel-Aviv,0.0
Origin_Tenerife,0.0
Origin_Tenerife South,0.0
Origin_Thessaloniki,0.0
Origin_Timisoara,0.0
Origin_Toulouse,0.0
Origin_Treviso,0.0
Origin_Trieste,0.0
Origin_VLG,0.0
Origin_Valencia,0.0
Origin_Venice,0.0
Origin_Vienna,0.0
Origin_Vilnius,0.0
Origin_Warsaw,0.0
Origin_Warsaw Modlin,0.0
Origin_Warszawa,0.0
Origin_Weeze,0.0
Origin_Wroclaw,0.0
Origin_XRY,0.0
Origin_Yerevan,0.0
Origin_Zadar,0.0
Origin_Zagreb,0.0
Origin_Zaragoza,0.0
Origin_from Rome (CIA),0.0
Destination_ACE,0.0
Origin_Tel Aviv-Yafo,0.0
Origin_Tangiers,0.0
Origin_Glasgow,0.0
Origin_Tallinn,0.0
Origin_Rome Fiumicino,0.0
Origin_Rome-Ciampino,0.0
Origin_SKG,0.0
Origin_SNN,0.0
Origin_STN,0.0
Origin_SVQ,0.0
Origin_SXF,0.0
Origin_Salzburg,0.0
"Origin_Sandefjord, Torp",0.0
Origin_Santander,0.0
Origin_Santiago,0.0
Origin_Santiago de Compostela,0.0
Origin_Santorini,0.0
Origin_Seville,0.0
Origin_Shannon,0.0
Origin_Skavsta,0.0
Origin_Sofia,0.0
Origin_Southend,0.0
Origin_Stanstead,0.0
"Origin_Stansted, Uk",0.0
Origin_Stanstred,0.0
Origin_Stockholm,0.0
Origin_Strasbourg,0.0
Origin_TFS,0.0
Origin_TSF,0.0
Destination_AGP,0.0
Destination_AHO,0.0
Destination_ALC,0.0
Destination_AMS,0.0
Destination_Bergamo via Bristol,0.0
Destination_Bergerac,0.0
Destination_Berlin,0.0
Destination_Berlin Schönefeld,0.0
Destination_Berlin-Schonefeld,0.0
Destination_Beziers,0.0
Destination_Billund,0.0
Destination_Birmingham,0.0
Destination_Bodrum,0.0
Destination_Bologna,0.0
Destination_Bologna Italy,0.0
Destination_Bolonia via Mykonos,0.0
Destination_Bordeaux,0.0
Destination_Bournemouth,0.0
Destination_Bratislava,0.0
Destination_Bremen,0.0
Destination_Brindisi,0.0
Destination_Brindisi via Stansted,0.0
Passenger Country_Argentina,0.0
"Destination_Bristol, UK",0.0
Destination_Brno,0.0
Destination_Brussel,0.0
Destination_Brussels CRL,0.0
Destination_Brussels Charleroi,0.0
Destination_Brussels South,0.0
Destination_Bergamo Italy,0.0
Destination_Bergamo,0.0
Destination_Belfast,0.0
Destination_BHX,0.0
Destination_ATH via BGY,0.0
Destination_Aarhus,0.0
Destination_Agadir,0.0
Destination_Alghero,0.0
Destination_Alicante,0.0
Destination_Amsterdam,0.0
Destination_Arrecife,0.0
Destination_Athens,0.0
Destination_Athens via Stansted,0.0
Destination_BCN,0.0
Destination_BFS,0.0
Destination_BLQ,0.0
Destination_Bari,0.0
Destination_BRE,0.0
Destination_BRE via DUB,0.0
Destination_BRS,0.0
Destination_BRU,0.0
Destination_BTS,0.0
Destination_BUD,0.0
Destination_BVA,0.0
Destination_Banja Luka,0.0
Destination_Barcelona El Prat,0.0
Destination_Barcelona Reus,0.0
Destination_Barcelone,0.0
Origin_Rome Ciampino,0.0
Origin_Rome,0.0
Origin_Roma,0.0
Origin_Majorca,0.0
Origin_Landvetter,0.0
Origin_Lanzarote,0.0
Origin_Lappeenranta,0.0
Origin_Las Palmas,0.0
Origin_Leeds,0.0
Origin_Leeds Bradford,0.0
Origin_Leeds bradford,0.0
Origin_Leeds/Bradford,0.0
Origin_Limoges,0.0
Origin_Lisbon,0.0
Origin_Liverpool,0.0
Origin_London (Stansted),0.0
Origin_London Gatwick,0.0
Origin_London Luton,0.0
Origin_London Stamsted,0.0
Origin_London Stanstead,0.0
Origin_London Stansted,0.0
"Origin_London, Stansted",0.0
Origin_Lublin,0.0
Origin_Lulea,0.0
Origin_Luton,0.0
Origin_MAD,0.0
Origin_MAN,0.0
Origin_MJV,0.0
Origin_Madeira,0.0
Origin_Lamezia Terme,0.0
Origin_Lamezia,0.0
Origin_LTN,0.0
Origin_Jasionka,0.0
Origin_Glasgow Prestwick,0.0
Origin_Gothenburg,0.0
Origin_Gran Canaria,0.0
Origin_Gran Carnia,0.0
Origin_HHN,0.0
Origin_Hahn,0.0
Origin_Hamburg,0.0
Origin_Helsinki,0.0
Origin_Hungary,0.0
Origin_IBZ,0.0
Origin_Ibiza,0.0
Origin_Jerez,0.0
Origin_LPL,0.0
Origin_Katowice,0.0
Origin_Kerry,0.0
Origin_Kiev,0.0
Origin_Knock,0.0
Origin_Krakow,0.0
Origin_Kraków,0.0
Origin_Kyiv,0.0
Origin_LBA,0.0
Origin_LGW,0.0
Origin_LIS,0.0
Origin_LPA,0.0
Origin_Madrid,0.0
Origin_Malaga,0.0
Origin_Rodez,0.0
Origin_Mallorca,0.0
Origin_PMI,0.0
Origin_PRG,0.0
Origin_Palermo,0.0
Origin_Palma,0.0
Origin_Palma Majorca,0.0
Origin_Palma de Mallorca,0.0
Origin_Paphos,0.0
Origin_Paris,0.0
Origin_Paris Beauvais,0.0
Origin_Perugia/Pisa,0.0
Origin_Pescara,0.0
Origin_Pisa,0.0
Origin_Podgorica,0.0
Origin_Poitiers,0.0
Origin_Ponta DelGada,0.0
Origin_Ponta Delgada,0.0
Origin_Ponta Delgado,0.0
Origin_Porto,0.0
Origin_Poznan,0.0
Origin_Prague,0.0
Origin_Prestwick,0.0
Origin_Pula,0.0
Origin_RAK,0.0
Origin_Rabat,0.0
Origin_Riga,0.0
Origin_PIK,0.0
Origin_PDL,0.0
Origin_Oslo,0.0
Origin_Munich,0.0
Origin_Malta,0.0
Origin_Manchester,0.0
Origin_Marrakech,0.0
Origin_Marseille,0.0
Origin_Memmingen,0.0
Origin_Memmingnem,0.0
Origin_Menorca,0.0
Origin_Milan,0.0
Origin_Milan Bergamo,0.0
Origin_Milano,0.0
Origin_Milano Malpensa,0.0
Origin_Murcia,0.0
Origin_Odesa,0.0
Origin_Mykonos,0.0
Origin_NRN,0.0
Origin_NUE,0.0
Origin_Naples,0.0
Origin_Newcastle,0.0
Origin_Nice,0.0
Origin_Nis,0.0
Origin_Nuremberg,0.0
Origin_Nürnberg,0.0
Origin_OPO,0.0
Origin_ORK,0.0
Destination_Bristol,0.0
