,param_C,param_kernel,param_gamma,param_degree,param_epsilon,mean_test_score,std_test_score,rank_test_score
6,4.936680901970687,rbf,auto,12,0.003059265802441405,-0.8060579169530102,0.04880808423367758,159
139,4.905302262108325,rbf,auto,27,0.004005746473411999,-0.8060579621749568,0.048811155564537384,160
29,5.063092285690967,rbf,auto,17,0.00355770976374325,-0.8060580976303043,0.0487690174335544,161
161,4.996504189928529,rbf,auto,26,0.0031601860608489966,-0.8060583534130894,0.048807443143746694,162
212,5.021234926890177,rbf,auto,1,0.0033595034220292837,-0.8060584323550634,0.048799886866722854,163
486,4.918232898081238,rbf,auto,8,0.0038556092232202603,-0.8060584750783466,0.048815503447085816,164
207,4.915071812070493,rbf,auto,28,0.004065505045650388,-0.8060586120710971,0.04880728428989702,165
289,5.063319887894316,rbf,auto,7,0.0035699122742766302,-0.806058941508095,0.04876483981222615,166
320,5.003767611425215,rbf,auto,8,0.0030404719689712937,-0.8060604941394702,0.04880699871924015,167
395,4.949933601771837,rbf,auto,25,0.003234324595585817,-0.8060606399180695,0.04880740658609355,168
91,5.072833513014381,rbf,auto,28,0.003613260576307527,-0.8060611026075023,0.04876885786754177,169
110,4.967599031370307,rbf,auto,28,0.002895324477537794,-0.8060615173710188,0.04881133094492913,170
140,5.035433668476597,rbf,auto,3,0.003217441092211766,-0.8060618685826639,0.048800552883335006,171
329,5.056099141509218,rbf,auto,11,0.003162321439597652,-0.8060623009732437,0.04878901466077465,172
337,4.913141727885671,rbf,auto,14,0.0035712959989491412,-0.806062324623238,0.04881400473590664,173
137,5.071297968237665,rbf,auto,5,0.0034208188469907054,-0.8060624054226052,0.04877316013674304,174
283,4.9132992534733555,rbf,auto,8,0.003608982753756386,-0.8060624775192216,0.048802761756680614,175
128,4.983920012485559,rbf,auto,12,0.0028311860524703816,-0.8060627458824419,0.048820194513047366,176
99,4.997055974855264,rbf,auto,18,0.002785006312291751,-0.806062753790998,0.04881541475191836,177
66,5.071671760962745,rbf,auto,28,0.0033888218092114125,-0.8060628134977359,0.04877252382184916,178
490,4.992419458153132,rbf,auto,14,0.002992636325612135,-0.8060629052122724,0.04881749359992026,179
476,5.067989432934494,rbf,auto,15,0.0034034965103735657,-0.806063205839678,0.048777435095368964,180
253,5.035820463828898,rbf,auto,3,0.0032451142014578802,-0.8060632077876095,0.048792797807235194,181
336,4.9755451894880345,rbf,auto,16,0.0028252056663130823,-0.8060632521480547,0.048805941618304816,182
352,4.902600384702148,rbf,auto,7,0.0036805230659800116,-0.8060633871580938,0.04880637193455852,183
153,4.974403617158557,rbf,auto,7,0.0029037200617195494,-0.8060635399055818,0.04881023770121339,184
333,4.936892574283772,rbf,auto,7,0.002977925086600219,-0.8060637650119655,0.04881139149269647,185
85,5.048834104611313,rbf,auto,3,0.003289064461501717,-0.806064434542433,0.04879297466004536,186
275,4.967320855638785,rbf,auto,10,0.002744015589690766,-0.8060647465545647,0.04881659154668678,187
119,5.0951704158925075,rbf,auto,28,0.0035739755208997605,-0.8060647728412406,0.04876101165147672,188
