,param_alpha_1,param_alpha_2,param_lambda_1,param_lambda_2,param_tol,mean_test_score,std_test_score,rank_test_score
224,17.774962597379545,19.11303096459507,34.48510569061802,8.09516174724878,0.0003376209903195109,-0.7422213638779415,0.05521794014618096,1086
2909,7.072758262802208,10.497545360111648,23.985606762758653,5.6666755375016455,0.00033708415599596617,-0.742221435916604,0.055222902295209875,1087
4318,12.06859816989534,1.130219818490396,24.369535222876895,5.540171191076188,0.0003376274154195498,-0.7422214518782861,0.05522283503378899,1088
2839,1.3918379479261793,3.0726314078653334,30.576005455572243,7.239954841447379,0.0002925088844530553,-0.7422215471689209,0.05521860731510227,1089
2190,3.43045487574374,15.43093014624755,8.936502797185002,0.8084690164325398,0.0004474666621753245,-0.7422215504273315,0.05535069658201758,1090
2353,12.681011166134388,5.139719757075622,2.0874033118704434,0.10233956408757514,2.1079767772260772e-05,-0.7422216344920523,0.055283090604189615,1091
4824,6.0664634047532,12.77139656134908,24.993692903911498,5.969252357296543,8.9713103444151e-05,-0.7422216479478044,0.055221852500660945,1092
1637,2.9853612533849456,4.819926159918359,37.445023861605385,5.201603230243957,0.00019240904815392846,-0.7422216512801539,0.055364012262414414,1093
4717,1.7514573453246023,9.906034073792199,37.23329763269951,8.966010580549783,0.00017869042274157283,-0.7422218404989537,0.05521539652879748,1094
1913,6.805500644680618,12.416653655483858,35.63981598577059,4.961760261011153,0.00042236158203846013,-0.7422218526547054,0.05536369135735449,1095
594,7.610355197397891,3.26070773863182,31.44822709044232,7.344440320755915,0.00020217751926206745,-0.7422218663166278,0.05521793563679892,1096
3337,4.875390861654549,5.941820375606416,23.0880904450383,5.446881934339767,0.0002557068773114409,-0.742221873187782,0.055222677940248314,1097
4323,6.310786414597094,7.104333282631192,1.8584600888763851,0.15740711116717984,0.00024850306317886455,-0.7422218985373579,0.055278730735391565,1098
2948,17.821013338610694,11.873502487958035,32.23622688075607,4.2743117116021425,6.669916367245437e-05,-0.7422219279142233,0.05536257954814563,1099
1702,3.710520505154384,13.033596897568538,28.504057291935727,6.880306189519813,0.00016965844001068703,-0.7422219772008496,0.05521916677763599,1100
1780,7.301674465688015,18.251685358496463,31.220873110280873,7.554373725155812,0.00031335978989111604,-0.7422220563711194,0.05521787523156971,1101
88,1.6967552817038383,19.73279257002351,14.970832830244811,3.706422470668909,0.0004163997836287513,-0.7422220638533037,0.05522976352897868,1102
1930,5.746607664552989,3.2379132010471685,9.971815000184453,2.248868802255318,0.00026972439319561885,-0.7422221315841087,0.05523847779639189,1103
4047,0.28615079588469367,2.363253770678992,35.0922486124823,8.365631353048716,0.00015760450043918121,-0.742222138860161,0.05521560057337494,1104
1823,9.513101618498341,12.056151645335188,39.439663886826374,9.377646593182241,0.0004410764791465609,-0.7422221451329218,0.05521443493315096,1105
2718,4.700576742362673,8.440106016914461,36.81559426000147,8.791850177790979,0.00023844727749121396,-0.7422221502328903,0.055215152984526165,1106
2354,0.16699575027539323,2.2071021311575096,9.579549582805194,2.212216141822992,0.0005033982970899484,-0.7422221689305403,0.05523863946174494,1107
4456,11.196737057071793,8.316682005360592,35.53220709186589,4.824994748657462,0.00042176418799062365,-0.7422222058829864,0.05536392853187388,1108
1441,3.67159354710292,5.055318199023282,16.26546207539882,3.831645685591258,0.0004073314461989445,-0.7422222127909522,0.05522808263298965,1109
1578,3.009910961451711,10.071402488071099,32.06570459325469,4.415341103788969,0.0002553067879490996,-0.7422222524957187,0.05536324507766532,1110
540,10.425921953082778,19.52027746558427,5.022009590506135,0.16947764889580993,0.000395079105878548,-0.7422222667561252,0.05534634741090131,1111
4532,19.686184817250712,10.292256824755231,29.675287732926773,6.829378976993461,0.000434955717546069,-0.7422222888315927,0.055218717054049446,1112
1368,18.294987574553208,3.3390045806893838,4.846219450439417,0.854085828082653,0.0004647218320183156,-0.7422224075330007,0.05525599477229986,1113
140,10.651789651031716,1.036471736448538,13.464172127756823,1.3441477693897423,4.168748523638387e-05,-0.7422224231756227,0.055354717762916554,1114
2964,6.704957714006622,0.026398379686593504,12.31774930647728,2.78628433089757,0.0002067240766118179,-0.7422224512350639,0.05523361056828862,1115
4552,14.779431639065791,18.3565420751439,35.35377316737371,8.419607812337942,0.00048289563597085194,-0.7422224745627372,0.05521570537195158,1116
315,1.9142921104032344,0.4727727209267279,25.678861017730643,6.070941360887808,0.00028334870635703504,-0.7422225122715996,0.055219752071543976,1117
1815,14.815598343213448,15.683744584641591,30.531408608126366,7.226118248344496,0.00011225216934639792,-0.7422225617058402,0.055217685023963764,1118
